id,type,title,url,content,note,tags,created
1Hog0NZATcDRofi,WebPage,Washington D.C. Show Photos,https://www.dropbox.com/scl/fo/kdypv9uesl9owo4bzz777/AEzN1EdSmZOCTlGBiQuBW1w/240811 - DC9/Full Size?dl=0&e=4&rlkey=w9ygscyap6cu8q7e35tk9cvei&subfolder_nav_tracking=1,,,"Photos,data,documentation,information,reference,project,Document",2024-08-19T18:58:27Z
1Hog0NZDDWYXa7S,Document,Master Recording Split Sheet_Arkose_Sunny_Days_Live,,,,"Splits_Arkose,Master Recording,Royalties,Copyright,Music Industry,Revenue Sharing,Intellectual Property,Music Production",2024-08-26T15:24:17Z
1Hog0NZDEgNJ6yI,WebPage,Song Splits Folder,https://drive.google.com/drive/u/1/folders/17Bs7oLlP9eY2i5W25GROZw0HzQ2Rpve2,,"Where to find song split agreements

",Splits,2024-08-26T15:42:45Z
1Hog0NZDG9geFBL,Article,Exposing The Fake: Russ Keeps It Real About Labels Signing Artists In Secret,https://djbooth.net/features/2016-09-08-russ-interview-exposing-the-fake/,,,"read later,Music Biz,opinion,hip-hop,artists,honesty,labels,independence,music industry,Russ,interview,music,Interviews",2024-08-26T17:31:17Z
1Hog0NZFBbjtWMU,WebPage,Disc Manufacturing for Musicians and Creators | Disc Makers,https://www.discmakers.com/,,,"Vinyl,custom packaging,USBs,Blu-rays,DVDs,CDs,independent artists,Media Production",2024-08-31T12:09:02Z
1Hog0NZFBcz2Qci,WebPage,Wendy Day,https://wendyday.wordpress.com/,,,"Reading,music,Blog,Promotion,Creativity,Marketing,Industry Insights,Industry Trends,Self Promotion,Music Business,Music Industry",2024-08-31T12:10:12Z
1Hog0NZFBZzCnIL,WebPage,Kennedy Smith's Olde Bar,https://www.dropbox.com/scl/fo/wzxrtfbc30ma9bc03kpju/AG8vC9MFA2OkKmx__LzUtFA?rlkey=efhkp6dh9eb9uj7yyo3e6kurf&e=2&st=blf67f1t&dl=0,,,"Photos,audience,information,topics,discussion,insights,Documents",2024-08-31T12:55:52Z
1Hog0NZG2BWNrN9,Image,Instagram Profile and Message,,,,"Testimonials,chat,message,profile,social media,Instagram",2024-09-01T14:33:55Z
1Hog0NZG2CC5tog,Image,Music Industry Acquisitions Infographic,,,,"business,infographic,record labels,acquisitions,music industry",2024-09-01T14:34:32Z
1Hog0NZGaZTNmNc,Image,Streaming payout,,,,"music industry,comparison chart,payout rates,digital service provider,music streaming",2024-09-01T22:38:29Z
1Hog0NZGb0LAm1q,Image,IMG_8229.jpeg,,,,"business management,radio promotion,artists,producers,A&R,music industry",2024-09-01T22:39:17Z
1Hog0NZGAIJ73Rp,XPost,,https://x.com/kidcudi/status/1829979226931675641?s=12&t=kisxrLZgTBNm6S_v1KnO-w,,,Music tweets,2024-09-02T23:24:46Z
1Hog0NZHgh3sEqV,WebPage,FUGA,https://fuga.com/products-services/music-distribution/,,,"music distribution,Platforms,DSP,Analytics,Catalog Management,Digital Supply Chain,Distribution,Music",2024-09-04T15:25:45Z
1Hog0NZKv5SRXvO,Image,Masters of Scale Book Cover,,,,"Books,Reid Hoffman,scale,success,business,entrepreneurship,book",2024-09-12T16:49:09Z
1Hog0NZKRVmfhWh,WebPage,Clerky | The easiest way for startups to get legal paperwork done safely.,https://www.clerky.com/,,,"business,Business Registration,legal advice,corporate compliance,online services,business formation,fundraising,incorporation,legal paperwork,startups,Legal Services",2024-09-13T14:48:17Z
1Hog0NZKSqHvMXu,Article,"Nick Bobetsky on Chappell Roan’s rise and why artistry is ‘a human matter – not a business matter&#",https://www.musicbusinessworldwide.com/chappell-roan-is-everywhere-her-manager-says-her-fans-feel-part-of-her-success-not-separate-to-it/,,,"read later,Music Biz,album release,independent artists,queer community,Billboard,pop music,artist development,music management,Nick Bobetsky,Chappell Roan,Pop Culture,Artist Management,Music Industry,Music",2024-09-13T15:17:30Z
1Hog0NZLiJibcxG,Image,Twitter Post on Fan Engagement Strategy,,,,"Music Biz,Twitter,marketing strategy,fan engagement,music industry,social media",2024-09-14T16:37:06Z
1Hog0NZLK65yIeA,Image,Tweet about music industry challenges,,,,"Music Biz,executives,labels,uncertainty,music industry,tweet",2024-09-15T18:58:24Z
1Hog0NZM4XxY65q,Image,Product examples,,,,"Product,e-commerce,Midnight Control,Dirty Heads,limited edition,box set,music,vinyl",2024-09-16T15:03:50Z
1Hog0NZM4XxZ3L3,Image,Music Product references,,,,"Product,mobile interface,colorful,art,prints,product,ecommerce",2024-09-16T15:03:50Z
1Hog0NZM5cY7Tsp,Image,Booking-Agent.io Booking Shows - Promotion,,,,"Resources,music industry,booking agent,promotion,group chat,Telegram",2024-09-16T15:18:13Z
1Hog0NZM9FItllK,WebPage,AI Roleplays  | Exec,https://www.exec.com/ai-roleplays,,,"Sales,Sales Enablement,Leadership Development,Team Training,Feedback,Professional Development,Roleplaying,Communication Skills,AI Training,Training Solutions",2024-09-16T19:36:07Z
1Hog0NZMDCYOfGU,Document,ONE-STOP PUBLISHING AGREEMENT,,,,"Song features,copyright,royalties,music industry,publishing agreement,Dispute Resolution,Copyright Ownership,Royalty Distribution,Music Publishing",2024-09-18T00:26:59Z
1Hog0NZMEPm9Umq,TikTokPost,,https://www.tiktok.com/t/ZTF2rRCRD/,,,"Ego UGC,Uhn),+,(Ry,Ryon,@Kennedy,DoorTransitionChallenge,DoorTransition,TrendingTransitions,TransitionTok,TrendingTransition,Transition2024,MirrorTransition,Ego,IJustMetMyEgo,EgoTransition",2024-09-18T01:36:18Z
1Hog0NZMEPHACHO,TikTokPost,UGC,https://www.tiktok.com/t/ZTF2r62UF/,,,"Ego UGC,xyzbca,ego,viral,style,ootd,transition,foryourpage,foryou,fyp",2024-09-18T01:36:37Z
1Hog0NZMESWUCTX,TikTokPost,,https://www.tiktok.com/t/ZTF2ryJoa/,,,"Ego UGC,DoorTransitionChallenge,DoorTransition,TrendingTransitions,TransitionTok,TrendingTransition,Transition2024,MirrorTransition,Ego,IJustMetMyEgo,Uhn),+,(Ry,Ryon,@Kennedy,EgoTransition",2024-09-18T01:39:39Z
1Hog0NZMSwHHNIG,Image,Valley: B2B Startup Pitch Email,"https://media.beehiiv.com/cdn-cgi/image/fit=scale-down,format=auto,onerror=redirect,quality=80/uploads/asset/file/0714d8a1-2a4a-42c1-897c-5935fdd35d06/Screenshot_2024-09-12_at_7.58.01_PM_1.png?t=1726246601",,,"Investors,funding,email,pitch,AI,B2B,startup",2024-09-18T14:47:50Z
1Hog0NZMWvXmbSi,InstagramReel,,https://www.instagram.com/reel/DAEX8P8KstL/?igsh=MmR0aXA4ZDdsdTJv,,,Ego UGC,2024-09-18T18:38:15Z
1Hog0NZNlbfAomT,Video,,,,,Health,2024-09-19T18:23:28Z
1Hog0NZNlkRFkoU,Image,Ariana Grande Album Covers Marketing Example,,,,"Music marketing,Eternal Sunshine,Ariana Grande,Music,Vinyl records,Album covers",2024-09-19T18:32:26Z
1Hog0NZNmXGKQcn,Image,IRS response to payment plan,,,,"Finances,Taxes,government,website,online,payment,IRS",2024-09-19T20:06:23Z
1Hog0NZNDdCoHGx,Document,Tax payment receipt,,,,"Finances,Taxes,Paid,Tax Returns,Invoice,Financial Documentation,Tax Services",2024-09-20T11:45:43Z
1Hog0NZNDelwVoP,Document,Medical Encounter and Billing Summary for Josh Kelly,,,,"Medical records,billing summary,dermatology,medical record,healthcare billing,medical procedures,skin conditions",2024-09-20T11:46:23Z
1Hog0NZO9qFxpMC,WebPage,Right Call Media,https://www.rightcallmedia.co/,,,"marketing,Digital Media,Advertising,Services,Solutions,Media",2024-09-21T18:46:51Z
1Hog0NZO9reKe5W,WebPage,SubmitHub,https://www.submithub.com/story/deep-linking-song-spotify-playlist-guide,,,"marketing,streaming,guide,playlists,deep linking,Spotify,Music",2024-09-21T18:47:22Z
1Hog0NZOAdOPLyL,Image,Music Sampling Rights Process,,,,"Music Biz,instructions,chat,Telegram,copyright,sampling,music licensing",2024-09-22T20:34:56Z
1Hog0NZPL9P7czy,WebPage,PUBLISHING SIMULATOR,https://pubsim.createos.app/,,,"Music Biz,public tools,platform,collaboration,simulations,Technology",2024-09-25T18:49:10Z
1Hog0NZPLVO71Rw,Image,Music Publishing 101,,,,"Music Biz,purple background,symphony,legal,education,sound recording,musical work,copyright,music publishing",2024-09-25T19:33:53Z
1Hog0NZPLVO7VgQ,Image,Music Publishing,,,,"Music Biz,digital learning,protect your sound,graduation cap icon,purple background,online course,education,music publishing,symphony university,graphic design",2024-09-25T19:33:53Z
